TF_Name,HomerID,TF_ID,Family_ID,TSource_ID,Motif_ID,MSource_ID,DBID,TF_Species,TF_Status,Family_Name,DBDs,DBD_Count,Cutoff,DBID.1,Motif_Type,MSource_Identifier,MSource_Type,MSource_Author,MSource_Year,PMID,MSource_Version,SR_Model,SR_NoThreshold,TfSource_Name,TfSource_URL,TfSource_Year,TfSource_Month,TfSource_Day,Motif,width,IC,max_score,NCcutoffScore,ICperNT
Arnt,HIF-1b(HLH)/T47D-HIF1b-ChIP-Seq(GSE59937)/Homer,T035666_2.00,F082_2.00,TS12_2.00,M08746_2.00,MS27_2.00,ENSMUSG00000015522,Mus_musculus,D,bHLH,HLH,1,0.837833808,ARNT_MOUSE.H11MO.0.B,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M08746_2.00,8,6.712,8.281,5.203,0.84
Nr1h2,"LXRE(NR),DR4/RAW-LXRb.biotin-ChIP-Seq(GSE21512)/Homer",T303941_2.00,F278_2.00,TS12_2.00,M09620_2.00,MS28_2.00,ENSMUSG00000060601,Mus_musculus,D,Nuclear receptor,zf-C4,1,0.744966518,RAW-LXRb.biotin_GSE21512,Misc,HOMER,Misc,Heinz,2010,20513432,16-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09620_2.00,16,11.799,16.821,9.59,0.74
Nfia,NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished)/Homer,T324770_2.00,F304_2.00,TS12_2.00,M09383_2.00,MS27_2.00,ENSMUSG00000028565,Mus_musculus,D,SMAD,MH1,1,0.7,NFIA_MOUSE.H11MO.0.C,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09383_2.00,15,6.974,13.29,4.643,0.46
Nfia,NF1-halfsite(CTF)/LNCaP-NF1-ChIP-Seq(Unpublished)/Homer,T324770_2.00,F304_2.00,TS12_2.00,M09383_2.00,MS27_2.00,ENSMUSG00000028565,Mus_musculus,D,SMAD,MH1,1,0.7,NFIA_MOUSE.H11MO.0.C,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09383_2.00,15,6.974,13.29,4.643,0.46
Nfkb1,"NFkB-p50,p52(RHD)/Monocyte-p50-ChIP-Chip(Schreiber_et_al.)/Homer",T317316_2.00,F293_2.00,TS12_2.00,M09358_2.00,MS27_2.00,ENSMUSG00000028163,Mus_musculus,D,Rel,RHD_DNA_bind,1,0.7,NFKB1_MOUSE.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09358_2.00,11,9.048,12.583,6.819,0.82
Rela,NFkB-p65(RHD)/GM12787-p65-ChIP-Seq(GSE19485)/Homer,T317313_2.00,F293_2.00,TS12_2.00,M08039_2.00,MS26_2.00,ENSMUSG00000024927,Mus_musculus,D,Rel,RHD_DNA_bind,1,0.7,SRP001843_p65_Input_LPSstim,ChIP-seq,hmCHIP,ChIP-seq,Chen,2011,21450710,11-Nov,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M08039_2.00,11,8.727,11.911,6.718,0.79
Rela,NFkB-p65-Rel(RHD)/ThioMac-LPS-Expression(GSE23622)/Homer,T317313_2.00,F293_2.00,TS12_2.00,M08039_2.00,MS26_2.00,ENSMUSG00000024927,Mus_musculus,D,Rel,RHD_DNA_bind,1,0.7,SRP001843_p65_Input_LPSstim,ChIP-seq,hmCHIP,ChIP-seq,Chen,2011,21450710,11-Nov,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M08039_2.00,11,8.727,11.911,6.718,0.79
Nfya,NFY(CCAAT)/Promoter/Homer,T159933_2.00,F138_2.00,TS12_2.00,M09019_2.00,MS27_2.00,ENSMUSG00000023994,Mus_musculus,D,CBF/NF-Y,CBFB_NFYA,1,0.7,NFYA_MOUSE.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09019_2.00,14,8.843,12.929,6.748,0.63
Npas4,Npas4(bHLH)/Neuron-Npas4-ChIP-Seq(GSE127793)/Homer,T034312_2.00,F082_2.00,TS12_2.00,M04158_2.00,MS62_2.00,ENSG00000170485,,D,bHLH,HLH,1,0.837833808,,,,,,,,,,,,,,,,,,,,,
Nrf1,NRF(NRF)/Promoter/Homer,T350323_2.00,F319_2.00,TS12_2.00,M09450_2.00,MS27_2.00,ENSMUSG00000058440,Mus_musculus,D,Unknown,UNKNOWN,1,0.7,NRF1_MOUSE.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09450_2.00,17,11.931,17.527,9.736,0.7
Pou5f1,"Oct4:Sox17(POU,Homeobox,HMG)/F9-Sox17-ChIP-Seq(GSE44553)/Homer",T238377_2.00,F231_2.00,TS12_2.00,M08031_2.00,MS26_2.00,ENSMUSG00000024406,Mus_musculus,D,"Homeodomain,POU","Homeobox,Pou",2,0.993464052,GSE11329_bioOct4,ChIP-seq,hmCHIP,ChIP-seq,Chen,2011,21450710,11-Nov,SequenceIdentity,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M08031_2.00,15,8.947,13.74,6.786,0.6
Pitx1,"Pitx1:Ebox(Homeobox,bHLH)/Hindlimb-Pitx1-ChIP-Seq(GSE41591)/Homer",T212420_2.00,F223_2.00,TS12_2.00,M09182_2.00,MS27_2.00,ENSMUSG00000021506,Mus_musculus,D,Homeodomain,Homeobox,1,0.598692765,PITX1_MOUSE.H11MO.0.C,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09182_2.00,10,6.909,9.769,4.867,0.69
Prdm10,PRDM10(Zf)/HEK293-PRDM10.eGFP-ChIP-Seq(Encode)/Homer,,F135_2.00,TS12_2.00,M09001_2.00,MS27_2.00,ENSMUSG00000042496,Mus_musculus,,C2H2 ZF,zf-C2H2,1,,,,,,,,,,,,,,,,,,,,,,
Prdm14,PRDM14(Zf)/H1-PRDM14-ChIP-Seq(GSE22767)/Homer,T101172_2.00,F135_2.00,TS12_2.00,M09001_2.00,MS27_2.00,ENSMUSG00000042414,Mus_musculus,D,C2H2 ZF,zf-C2H2,1,0.755454496,PRD14_MOUSE.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09001_2.00,16,7.381,13.933,5.049,0.46
Prdm15,PRDM15(Zf)/ESC-Prdm15-ChIP-Seq(GSE73694)/Homer,,F135_2.00,TS12_2.00,M09001_2.00,MS27_2.00,ENSMUSG00000014039,Mus_musculus,,C2H2 ZF,zf-C2H2,1,,,,,,,,,,,,,,,,,,,,,,
Prdm9,PRDM9(Zf)/Testis-DMC1-ChIP-Seq(GSE35498)/Homer,T101279_2.00,F135_2.00,TS12_2.00,M09007_2.00,MS27_2.00,ENSMUSG00000051977,Mus_musculus,D,C2H2 ZF,zf-C2H2,1,0.755454496,PRDM9_MOUSE.H11MO.0.C,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09007_2.00,19,9.756,16.463,7.469,0.51
Spdef,PSE(SNAPc)/K562-mStart-Seq/Homer,T176540_2.00,F180_2.00,TS12_2.00,M00159_2.00,MS02_2.00,ENSMUSG00000024215,Mus_musculus,D,Ets,Ets,1,0.717430628,Spdef_0905,PBM,Badis09,PBM,Badis,2009,19443739,NULL,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M00159_2.00,10,3.891,7.384,1.846,0.39
Smad2,Smad2(MAD)/ES-SMAD2-ChIP-Seq(GSE29422)/Homer,,F304_2.00,TS12_2.00,M05743_2.00,MS62_2.00,ENSG00000175387 ,Homo_sapiens,D,SMAD,MH1,1,,,,,,,,,,,,,,,,,,,,,,
Stat3,Stat3+il21(Stat)/CD4-Stat3-ChIP-Seq(GSE19198)/Homer,T337542_2.00,F308_2.00,TS12_2.00,M09419_2.00,MS27_2.00,ENSMUSG00000004040,Mus_musculus,D,STAT,STAT_bind,1,0.7,STAT3_MOUSE.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09419_2.00,12,6.529,11.167,4.363,0.54
Stat5a,STAT5(Stat)/mCD4+-Stat5-ChIP-Seq(GSE12346)/Homer,T337543_2.00,F308_2.00,TS12_2.00,M09420_2.00,MS27_2.00,ENSMUSG00000004043,Mus_musculus,D,STAT,STAT_bind,1,0.7,STA5A_MOUSE.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09420_2.00,10,8.935,11.189,6.631,0.89
Tbp,TATA-Box(TBP)/Promoter/Homer,T342364_2.00,F313_2.00,TS12_2.00,M00216_2.00,MS02_2.00,ENSMUSG00000014767,Mus_musculus,D,TBP,TBP,1,0.7,Tbp_pr781,PBM,Badis09,PBM,Badis,2009,19443739,NULL,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M00216_2.00,7,2.124,4.838,0.333,0.3
Smad3,"Tbox:Smad(T-box,MAD)/ESCd5-Smad2_3-ChIP-Seq(GSE29422)/Homer",T324772_2.00,F304_2.00,TS12_2.00,M00192_2.00,MS02_2.00,ENSMUSG00000032402,Mus_musculus,D,SMAD,MH1,1,0.7,Smad3_3805,PBM,Badis09,PBM,Badis,2009,19443739,NULL,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M00192_2.00,10,3.017,6.017,1.068,0.3
Smad2,"Tbox:Smad(T-box,MAD)/ESCd5-Smad2_3-ChIP-Seq(GSE29422)/Homer",,F304_2.00,TS12_2.00,M05743_2.00,MS62_2.00,ENSMUSG00000024563,Homo_sapiens,D,SMAD,MH1,1,,,,,,,,,,,,,,,,,,,,,,
Trps1,TRPS1(Zf)/MCF7-TRPS1-ChIP-Seq(GSE107013)/Homer,,F135_2.00,NA,NA,NA,ENSMUSG00000038679,NA,,C2H2 ZF,zf-C2H2,,,,,,,,,,,,,,,,,,,,,,,
Ep300,Unknown(Homeobox)/Limb-p300-ChIP-Seq/Homer,,F135_2.00,NA,NA,NA,ENSMUSG00000055024,NA,,C2H2 ZF,zf-C2H2,,,,,,,,,,,,,,,,,,,,,,,
Zeb2,ZEB2(Zf)/SNU398-ZEB2-ChIP-Seq(GSE103048)/Homer,,F116_2.00,,,,ENSMUSG00000026872,Homo_sapiens,,"C2H2 ZF,Homeodomain","zf-C2H2,Homeobox",2,0.7,GM12878_ZEB1_HudsonAlpha,ChIP-seq,ENCODE,ChIP-seq,Gerstein,2012,22955619,11-Jan,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M07842_2.00,8,7.971,9.593,6.562,1
Zfp809,Zfp809(Zf)/ES-Zfp809-ChIP-Seq(GSE70799)/Homer,,F135_2.00,NA,NA,NA,ENSMUSG00000057982,NA,NA,C2H2 ZF,zf-C2H2,,,,,,,,,,,,,,,,,,,,,,,
ZNF143,ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)/Homer,T095041_2.00,F135_2.00,TS12_2.00,M02899_2.00,MS33_2.00,ENSG00000166478,Homo_sapiens,D,C2H2 ZF,zf-C2H2,1,0.755454496,ZNF143_1,SELEX,Jolma2013,SELEX,Jolma,2013,23332764,13-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M02899_2.00,16,14.838,18.099,12.899,0.93
ZNF165,ZNF165(Zf)/WHIM12-ZNF165-ChIP-Seq(GSE65937)/Homer,NA,F135_2.00,NA,NA,NA,ENSG00000197279 ,Homo_sapiens,NA,C2H2 ZF,zf-C2H2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zfp652,ZNF652/HepG2-ZNF652.Flag-ChIP-Seq(Encode)/Homer,T101498_2.00,F135_2.00,TS12_2.00,M02938_2.00,MS33_2.00,ENSMUSG00000075595,Mus_musculus,D,C2H2 ZF,zf-C2H2,1,0.755454496,Zfp652_1,SELEX,Jolma2013,SELEX,Jolma,2013,23332764,13-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M02938_2.00,13,12.12,14.402,10.109,0.93
EBNA-1,EBNA1(EBV-virus)/Raji-EBNA1-ChIP-Seq(GSE30709)/Homer,,,,,,,Virus,,,,,,,,,,,,,,,,,,,,,,,,,,
TFAP2C,AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer,T010822_2.00,F024_2.00,TS12_2.00,M02761_2.00,MS33_2.00,ENSG00000087510,Homo_sapiens,D,AP-2,TF_AP-2,1,0.7,TFAP2C_6,SELEX,Jolma2013,SELEX,Jolma,2013,23332764,13-Jan,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M02761_2.00,11,6.372,10.409,4.261,0.58
TFAP2A,AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer,T010824_2.00,F024_2.00,TS12_2.00,M02767_2.00,MS33_2.00,ENSG00000137203,Homo_sapiens,D,AP-2,TF_AP-2,1,0.7,TFAP2A_6,SELEX,Jolma2013,SELEX,Jolma,2013,23332764,13-Jan,SequenceIdentity,TRUE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M02767_2.00,13,9.423,13.198,7.523,0.72
TFE3,TFE3(bHLH)/MEF-TFE3-ChIP-Seq(GSE75757)/Homer,T034247_2.00,F082_2.00,TS12_2.00,M04058_2.00,MS62_2.00,ENSG00000068323,Homo_sapiens,D,bHLH,HLH,1,0.837833808,TFE3_eDBD_HT-SELEX,SELEX,Yin2017,SELEX,Yin,2017,28473536,17-Apr,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M04058_2.00,11,9.542,11.815,7.812,0.87
MNT,MNT(bHLH)/HepG2-MNT-ChIP-Seq(Encode)/Homer,T034249_2.00,F082_2.00,TS12_2.00,M02774_2.00,MS33_2.00,ENSG00000070444,Homo_sapiens,D,bHLH,HLH,1,0.837833808,MNT_1,SELEX,Jolma2013,SELEX,Jolma,2013,23332764,13-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M02774_2.00,10,7.483,9.671,5.082,0.75
TCF3,E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)/Homer,T034250_2.00,F082_2.00,TS12_2.00,M09794_2.00,MS59_2.00,ENSG00000071564,Homo_sapiens,D,bHLH,HLH,1,0.837833808,V$E47_01,Transfac,Transfac,Transfac,Matys,2006,16381825,7,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09794_2.00,15,10.067,13.484,8.409,0.67
TCF3,"E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer",T034250_2.00,F082_2.00,TS12_2.00,M09794_2.00,MS59_2.00,ENSG00000071564,Homo_sapiens,D,bHLH,HLH,1,0.837833808,V$E47_01,Transfac,Transfac,Transfac,Matys,2006,16381825,7,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09794_2.00,15,10.067,13.484,8.409,0.67
HIF1A,HIF-1a(bHLH)/MCF7-HIF1a-ChIP-Seq(GSE28352)/Homer,T034254_2.00,F082_2.00,TS12_2.00,M09454_2.00,MS28_2.00,ENSG00000100644,Homo_sapiens,D,bHLH,HLH,1,0.837833808,MCF7-HIF1a_GSE28352,Misc,HOMER,Misc,Heinz,2010,20513432,16-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09454_2.00,8,6.141,8.464,4.182,0.77
EPAS1,HIF2a(bHLH)/785_O-HIF2a-ChIP-Seq(GSE34871)/Homer,T034267_2.00,F082_2.00,TS12_2.00,M09455_2.00,MS28_2.00,ENSG00000116016,Homo_sapiens,D,bHLH,HLH,1,0.837833808,785_O-HIF2a_GSE34871,Misc,HOMER,Misc,Heinz,2010,20513432,16-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09455_2.00,10,7.342,9.952,5.291,0.73
TWIST1,Twist(bHLH)/HMLE-TWIST1-ChIP-Seq(Chang_et_al)/Homer,T034273_2.00,F082_2.00,TS12_2.00,M08052_2.00,MS31_2.00,ENSG00000122691,Homo_sapiens,D,bHLH,HLH,1,0.837833808,MA1123.1,ChIP-seq,JASPAR,JASPAR,Mathelier,2014,24194598,14-Aug,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M08052_2.00,13,7.767,11.007,5.562,0.6
ARNTL,BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)/Homer,T034285_2.00,F082_2.00,TS12_2.00,M04125_2.00,MS62_2.00,ENSG00000133794,Homo_sapiens,D,bHLH,HLH,1,0.837833808,ARNTL_eDBD_Methyl-HT-SELEX,SELEX,Yin2017,SELEX,Yin,2017,28473536,17-Apr,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M04125_2.00,10,6.168,9.309,4.029,0.62
BHLHE40,bHLHE40(bHLH)/HepG2-BHLHE40-ChIP-Seq(GSE31477)/Homer,T034286_2.00,F082_2.00,TS12_2.00,M09456_2.00,MS28_2.00,ENSG00000134107,Homo_sapiens,D,bHLH,HLH,1,0.837833808,HepG2-BHLHE40_GSE31477,Misc,HOMER,Misc,Heinz,2010,20513432,16-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M09456_2.00,10,7.933,9.835,5.981,0.79
CLOCK,CLOCK(bHLH)/Liver-Clock-ChIP-Seq(GSE39860)/Homer,T034288_2.00,F082_2.00,TS12_2.00,M02789_2.00,MS33_2.00,ENSG00000134852,Homo_sapiens,D,bHLH,HLH,1,0.837833808,CLOCK_1,SELEX,Jolma2013,SELEX,Jolma,2013,23332764,13-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M02789_2.00,10,8.059,11.091,5.941,0.81
TCF12,HEB(bHLH)/mES-Heb-ChIP-Seq(GSE53233)/Homer,T034292_2.00,F082_2.00,TS12_2.00,M04138_2.00,MS62_2.00,ENSG00000140262,Homo_sapiens,D,bHLH,HLH,1,0.837833808,TCF12_eDBD_Methyl-HT-SELEX,SELEX,Yin2017,SELEX,Yin,2017,28473536,17-Apr,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M04138_2.00,8,6.784,8.572,4.868,0.85
USF1,USF1(bHLH)/GM12878-Usf1-ChIP-Seq(GSE32465)/Homer,T034299_2.00,F082_2.00,TS12_2.00,M02792_2.00,MS33_2.00,ENSG00000158773,Homo_sapiens,D,bHLH,HLH,1,0.837833808,USF1_1,SELEX,Jolma2013,SELEX,Jolma,2013,23332764,13-Jan,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M02792_2.00,10,8.217,10.499,6.431,0.82
TAL1,SCL(bHLH)/HPC7-Scl-ChIP-Seq(GSE13511)/Homer,T034301_2.00,F082_2.00,TS12_2.00,M08734_2.00,MS27_2.00,ENSG00000162367,Homo_sapiens,D,bHLH,HLH,1,0.837833808,TAL1_HUMAN.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M08734_2.00,19,8.765,15.249,6.607,0.46
TAL1,"GATA:SCL(Zf,bHLH)/Ter119-SCL-ChIP-Seq(GSE18720)/Homer",T034301_2.00,F082_2.00,TS12_2.00,M08734_2.00,MS27_2.00,ENSG00000162367,Homo_sapiens,D,bHLH,HLH,1,0.837833808,TAL1_HUMAN.H11MO.0.A,Misc,HocoMoco,Misc,Kulakovskiy,2013,23175603,14-Jul,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M08734_2.00,19,8.765,15.249,6.607,0.46
HAND2,Hand2(bHLH)/Mesoderm-Hand2-ChIP-Seq(GSE61475)/Homer,T034305_2.00,F082_2.00,TS12_2.00,M04151_2.00,MS62_2.00,ENSG00000164107,Homo_sapiens,D,bHLH,HLH,1,0.837833808,HAND2_eDBD_Methyl-HT-SELEX,SELEX,Yin2017,SELEX,Yin,2017,28473536,17-Apr,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M04151_2.00,10,9.01,11.532,6.981,0.9
NPAS2,NPAS2(bHLH)/Liver-NPAS2-ChIP-Seq(GSE39860)/Homer,T034312_2.00,F082_2.00,TS12_2.00,M04158_2.00,MS62_2.00,ENSG00000170485,Homo_sapiens,D,bHLH,HLH,1,0.837833808,NPAS2_eDBD_HT-SELEX,SELEX,Yin2017,SELEX,Yin,2017,28473536,17-Apr,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M04158_2.00,10,9.186,10.509,7.687,0.92
NPAS2,NPAS(bHLH)/Liver-NPAS-ChIP-Seq(GSE39860)/Homer,T034312_2.00,F082_2.00,TS12_2.00,M04159_2.00,MS62_2.00,ENSG00000170485,Homo_sapiens,D,bHLH,HLH,1,0.837833808,NPAS2_eDBD_Methyl-HT-SELEX,SELEX,Yin2017,SELEX,Yin,2017,28473536,17-Apr,SimilarityRegression,FALSE,Ensembl,http://www.ensembl.org/,2018,Dec,8,M04159_2.00,10,6.895,9.35,4.984,0.69
